Municipality,individual_prod_num,individual_prod_autonomous,individual_prod_in_business,educ_cannot_read_write,educ_can_read_write,educ_basic_1st_cycle,educ_basic_2nd_cycle,educ_basic_3rd_cycle,educ_secondary_agr,educ_secondary_not_agr,educ_polyt_or_superior_agr,educ_polyt_or_superior_not_agr,prof_only_practical,prof_short,prof_long,prof_short_and_long,prof_complete,agr_time_partial,agr_time_full,ext_imp_principal,ext_imp_secondary,ext_sit_employer,ext_sit_self_employed,ext_sit_employed_by_others,ext_sit_in_family,pastures_area_munic,pastures_mean_size_munic,land_rented,econ_0_2,econ_2_4,econ_4_8,econ_8_16,econ_16_40,econ_40_100,econ_above_100
Sabugal,2607.0,0.9900268507863444,0.009973149213655544,0.2125047947832758,0.28001534330648253,0.42692750287687,0.04257767548906789,0.019562715765247412,0.0003835826620636747,0.00728807057920982,0.0015343306482546988,0.009205983889528193,0.9624088991177598,0.01611047180667434,0.015726889144610665,0.0038358266206367474,0.0019179133103183737,0.8381281166091292,0.16187188339087072,0.1488300728807058,0.01304181051016494,0.025700038358266206,0.0364403528960491,0.09205983889528194,0.0007671653241273494,18140.0,7.621848739495799,0.25861132660977504,0.6777905638665133,0.1775987725354814,0.079018028385117,0.04679708477176832,0.016877637130801686,0.0015343306482546988,0.0003835826620636747
Trancoso,2029.0,0.9926071956628881,0.007392804337111878,0.2503696402168556,0.1877772301626417,0.4775751601774273,0.04731394775751602,0.01724987678659438,0.002957121734844751,0.0034499753573188764,0.001971414489896501,0.011335633316904879,0.964514539181863,0.014785608674223755,0.010349926071956629,0.005421389847215377,0.0049285362247412515,0.9423361261705273,0.05766387382947265,0.22917693445046822,0.01330704780680138,0.02858551010349926,0.05224248398225727,0.14785608674223755,0.0004928536224741252,5196.0,3.661733615221988,0.3315436241610738,0.5805815672745195,0.20847708230655496,0.12469196648595367,0.06702809265648102,0.017742730409068506,0.0014785608674223755,0.0
Castelo Branco,1048.0,0.958969465648855,0.04103053435114504,0.1450381679389313,0.1898854961832061,0.583969465648855,0.04770992366412214,0.01812977099236641,0.0,0.011450381679389313,0.0009541984732824427,0.0028625954198473282,0.9188931297709924,0.05629770992366412,0.015267175572519083,0.008587786259541985,0.0009541984732824427,0.8158396946564885,0.18416030534351144,0.38549618320610685,0.008587786259541985,0.04389312977099236,0.09923664122137404,0.2366412213740458,0.0009541984732824427,22334.0,16.373900293255133,0.25833015907565615,3.226145038167939,0.6641221374045801,0.3005725190839695,0.1183206106870229,0.11450381679389313,0.05534351145038168,0.01431297709923664
Idanha-a-Nova,4648.0,0.9651462994836488,0.034853700516351116,0.10391566265060241,0.15038726333907057,0.6243545611015491,0.06303786574870912,0.03442340791738382,0.0002151462994836489,0.014629948364888123,0.0021514629948364886,0.0068846815834767644,0.9672977624784854,0.016351118760757316,0.008605851979345954,0.005378657487091222,0.0023666092943201377,0.8500430292598967,0.14995697074010328,0.40490533562822717,0.009896729776247849,0.05959552495697074,0.08067986230636832,0.26914802065404475,0.00193631669535284,47499.0,53.853741496598644,0.2912313388835169,0.2736660929432014,0.06863166953528399,0.04130808950086059,0.021299483648881238,0.02086919104991394,0.01721170395869191,0.010542168674698794
Penamacor,203.0,0.9901477832512315,0.009852216748768473,0.09852216748768473,0.1625615763546798,0.5763546798029556,0.07881773399014778,0.03940886699507389,0.0,0.029556650246305417,0.0,0.014778325123152709,0.9802955665024631,0.019704433497536946,0.0,0.0,0.0,0.9261083743842364,0.07389162561576355,0.4039408866995074,0.0,0.09359605911330049,0.06403940886699508,0.23645320197044334,0.0,5033.0,11.759345794392527,0.21717755928282245,6.221674876847291,0.9014778325123153,0.43842364532019706,0.27586206896551724,0.1477832512315271,0.04433497536945813,0.014778325123152709
Vila Velha de Ródão,4750.0,0.9865263157894737,0.013473684210526317,0.1686315789473684,0.2591578947368421,0.49642105263157893,0.046526315789473686,0.016421052631578947,0.0002105263157894737,0.008842105263157894,0.0004210526315789474,0.003368421052631579,0.9717894736842105,0.01663157894736842,0.008210526315789474,0.0027368421052631577,0.0006315789473684211,0.8648421052631579,0.13515789473684212,0.35389473684210526,0.00968421052631579,0.03747368421052632,0.08378947368421052,0.24063157894736842,0.0002105263157894737,1460.0,5.7936507936507935,0.057522724189390854,0.15263157894736842,0.048,0.022526315789473682,0.005894736842105263,0.005263157894736842,0.0010526315789473684,0.0004210526315789474
Belmonte,986.0,0.9847870182555781,0.015212981744421906,0.23732251521298176,0.1308316430020284,0.5121703853955375,0.0436105476673428,0.033468559837728194,0.0,0.02129817444219067,0.0030425963488843813,0.018255578093306288,0.947261663286004,0.02535496957403651,0.016227180527383367,0.008113590263691683,0.0030425963488843813,0.7920892494929006,0.2079107505070994,0.2210953346855984,0.012170385395537525,0.036511156186612576,0.057809330628803245,0.12170385395537525,0.0010141987829614604,1169.0,3.574923547400612,0.1603935655161643,0.6531440162271805,0.15720081135902636,0.0872210953346856,0.058823529411764705,0.038539553752535496,0.004056795131845842,0.0
Covilhã,2818.0,0.9797728885734563,0.020227111426543647,0.21256210078069554,0.14549325762952448,0.4978708303761533,0.0660042583392477,0.035486160397444996,0.0010645848119233499,0.0191625266146203,0.00248403122782115,0.0198722498225692,0.9510290986515259,0.025904897090134847,0.0127750177430802,0.00674237047551455,0.0035486160397444995,0.9350603264726757,0.06493967352732434,0.2885024840312278,0.0134847409510291,0.03903477643718949,0.05429382540809084,0.19517388218594747,0.0010645848119233499,2380.0,5.790754257907543,0.22959772325205755,0.734208658623137,0.12455642299503193,0.0695528743789922,0.043293115684882894,0.0241305890702626,0.0035486160397444995,0.0007097232079489
Fundão,4775.0,0.9767539267015707,0.02324607329842932,0.2557068062827225,0.14785340314136125,0.4619895287958115,0.05905759162303665,0.03455497382198953,0.0010471204188481676,0.018219895287958116,0.0031413612565445027,0.01842931937172775,0.9614659685863874,0.023664921465968585,0.0071204188481675396,0.0035602094240837698,0.004188481675392671,0.8890052356020942,0.11099476439790576,0.25717277486910994,0.016963350785340316,0.039581151832460734,0.05549738219895288,0.17047120418848166,0.000837696335078534,3876.0,8.444444444444445,0.18306636155606407,0.6867015706806283,0.14659685863874344,0.09109947643979058,0.0393717277486911,0.02575916230366492,0.008795811518324608,0.001256544502617801
Alijó,2878.0,0.7967338429464906,0.2032661570535094,0.1393328700486449,0.12682418346073662,0.5267546907574705,0.09242529534398888,0.03822098679638638,0.0031271716469770676,0.026754690757470466,0.007296733842946491,0.039263377345378735,0.9412786657400973,0.023974982626824185,0.015635858234885336,0.008686587908269632,0.010423905489923557,0.9496177901320362,0.050382209867963865,0.3127171646977067,0.059763724808895066,0.027102154273801252,0.08964558721334259,0.2546907574704656,0.0,808.0,1.1206657420249653,0.02091488647802259,0.5416956219596942,0.23419041000694926,0.1348158443363447,0.05872133425990271,0.024669909659485754,0.004864489228630994,0.0010423905489923557
