Municipality,individual_prod_num,individual_prod_autonomous,individual_prod_in_business,educ_cannot_read_write,educ_can_read_write,educ_basic_1st_cycle,educ_basic_2nd_cycle,educ_basic_3rd_cycle,educ_secondary_agr,educ_secondary_not_agr,educ_polyt_or_superior_agr,educ_polyt_or_superior_not_agr,prof_only_practical,prof_short,prof_long,prof_short_and_long,prof_complete,agr_time_partial,agr_time_full,ext_imp_principal,ext_imp_secondary,ext_sit_employer,ext_sit_self_employed,ext_sit_employed_by_others,ext_sit_in_family
Anadia,2735.0,0.9747714808043876,0.02522851919561243,0.06617915904936014,0.14990859232175502,0.6186471663619744,0.06508226691042047,0.04241316270566728,0.0043875685557586835,0.02522851919561243,0.0032906764168190127,0.02486288848263254,0.9656307129798903,0.014625228519195612,0.006581352833638025,0.005484460694698354,0.007678244972577696,0.826691042047532,0.173308957952468,0.4424131627056673,0.0263254113345521,0.07861060329067641,0.07349177330895795,0.31480804387568556,0.00036563071297989033
Aveiro,1159.0,0.8981880931837791,0.10181190681622088,0.06643658326143227,0.19499568593615185,0.6074201898188093,0.08541846419327007,0.02070750647109577,0.001725625539257981,0.011216566005176877,0.003451251078515962,0.008628127696289905,0.9465056082830026,0.015530629853321829,0.023295944779982744,0.009490940465918895,0.005176876617773943,0.727351164797239,0.272648835202761,0.25884383088869717,0.04486626402070751,0.026747195858498704,0.03968938740293356,0.23382226056945643,0.0
Estarreja,1122.0,0.9064171122994652,0.09358288770053476,0.053475935828877004,0.13458110516934046,0.6506238859180036,0.10427807486631016,0.036541889483065956,0.00267379679144385,0.011586452762923352,0.00089126559714795,0.0053475935828877,0.9055258467023173,0.04634581105169341,0.023172905525846704,0.0213903743315508,0.0035650623885918,0.9055258467023173,0.0944741532976827,0.21390374331550802,0.02406417112299465,0.0213903743315508,0.040106951871657755,0.17647058823529413,0.0
Ílhavo,277.0,0.9097472924187726,0.09025270758122744,0.09025270758122744,0.3176895306859206,0.5090252707581228,0.04693140794223827,0.01444043321299639,0.0036101083032490976,0.010830324909747292,0.0,0.007220216606498195,0.9530685920577617,0.010830324909747292,0.021660649819494584,0.010830324909747292,0.0036101083032490976,0.5090252707581228,0.49097472924187724,0.1371841155234657,0.09025270758122744,0.01444043321299639,0.04693140794223827,0.16606498194945848,0.0
Mealhada,1436.0,0.9380222841225627,0.06197771587743733,0.054317548746518104,0.12395543175487465,0.6573816155988857,0.06197771587743733,0.04456824512534819,0.0006963788300835655,0.023676880222841225,0.004874651810584958,0.028551532033426183,0.9547353760445683,0.027158774373259052,0.005571030640668524,0.006963788300835654,0.005571030640668524,0.7332869080779945,0.2667130919220056,0.44846796657381616,0.0020891364902506965,0.05501392757660167,0.10376044568245125,0.2917827298050139,0.0
Murtosa,376.0,0.8111702127659575,0.18882978723404256,0.04521276595744681,0.23670212765957446,0.5877659574468085,0.10638297872340426,0.007978723404255319,0.0,0.007978723404255319,0.005319148936170213,0.0026595744680851063,0.8696808510638298,0.0398936170212766,0.07180851063829788,0.013297872340425532,0.005319148936170213,0.3670212765957447,0.6329787234042553,0.15691489361702127,0.007978723404255319,0.005319148936170213,0.05319148936170213,0.10638297872340426,0.0
Oliveira do Bairro,1611.0,0.9565487274984482,0.043451272501551834,0.06952203600248293,0.14214773432650527,0.6573556797020484,0.06952203600248293,0.019242706393544383,0.002482929857231533,0.013656114214773432,0.0031036623215394167,0.022967101179391682,0.9702048417132216,0.006207324643078833,0.008690254500310366,0.00931098696461825,0.00558659217877095,0.909993792675357,0.09000620732464308,0.3531967721911856,0.0037243947858473,0.05772811918063315,0.07386716325263812,0.21849782743637491,0.0006207324643078833
Ovar,622.0,0.927652733118971,0.07234726688102894,0.05305466237942122,0.15112540192926044,0.6366559485530546,0.10932475884244373,0.027331189710610933,0.001607717041800643,0.01607717041800643,0.001607717041800643,0.003215434083601286,0.8697749196141479,0.05144694533762058,0.05627009646302251,0.01929260450160772,0.003215434083601286,0.8520900321543409,0.14790996784565916,0.2572347266881029,0.022508038585209004,0.027331189710610933,0.03215434083601286,0.21864951768488747,0.0
Sever do Vouga,710.0,0.9267605633802817,0.07323943661971831,0.05352112676056338,0.19718309859154928,0.6112676056338028,0.11971830985915492,0.009859154929577466,0.0,0.005633802816901409,0.0014084507042253522,0.0014084507042253522,0.8732394366197183,0.09436619718309859,0.030985915492957747,0.0,0.0014084507042253522,0.476056338028169,0.523943661971831,0.18028169014084508,0.09577464788732394,0.01267605633802817,0.07605633802816901,0.18732394366197183,0.0
Vagos,2061.0,0.9587578845220767,0.041242115477923336,0.10625909752547306,0.20912178554099953,0.5793304221251819,0.07180980106744299,0.018437651625424552,0.0009704027171276079,0.006307617661329452,0.001455604075691412,0.006307617661329452,0.9650655021834061,0.011644832605531296,0.008733624454148471,0.012130033964095099,0.0024260067928190197,0.745269286754003,0.2547307132459971,0.2590975254730713,0.038330907326540514,0.046579330422125184,0.038330907326540514,0.21251819505094613,0.0
